"species.id" "species" "genus" "family"
"25R" "atrocinerea" "Salix" "Salicaceae"
"25V" "viminalis" "Salix" "Salicaceae"
"25C" "cinerea" "Salix" "Salicaceae"
"25D" "eleagnos" "Salix" "Salicaceae"
"25M" "caprea" "Salix" "Salicaceae"
"25FD" "daphnoides" "Salix" "Salicaceae"
"25B" "alba" "Salix" "Salicaceae"
"2500000" "pentandra" "Salix" "Salicaceae"
"25FR" "fragilis" "Salix" "Salicaceae"
"49SR" "racemosa" "Sambucus" "Adoxaceae"
"49SN" "nigra" "Sambucus" "Adoxaceae"
"68SV" "sempervirens" "Sequoia" "Cupressaceae"
"23AM" "mougeotii" "Sorbus" "Rosaceae"
"23AF" "latifolia" "Sorbus" "Rosaceae"
"23C" "domestica" "Sorbus" "Rosaceae"
"41" "torminalis" "Sorbus" "Rosaceae"
"23SO" "aucuparia" "Sorbus" "Rosaceae"
"23AB" "aria" "Sorbus" "Rosaceae"
"23SS" "intermedia" "Sorbus" "Rosaceae"
"49TF" "africana" "Tamarix" "Tamaricaceae"
"49TG" "gallica" "Tamarix" "Tamaricaceae"
"49TA" "anglica" "Tamarix" "Tamaricaceae"
"68CC" "distichum" "Taxodium" "Cupressaceae"
"67" "baccata" "Taxus" "Taxaceae"
"68TG" "plicata" "Thuja" "Cupressaceae"
"20G" "platyphyllos" "Tilia" "Malvaceae"
"20X" "europaea" "Tilia" "Malvaceae"
"20P" "cordata" "Tilia" "Malvaceae"
"68TH" "heterophylla" "Tsuga" "Pinaceae"
"18C" "minor" "Ulmus" "Ulmaceae"
"18D" "laevis" "Ulmus" "Ulmaceae"
"18M" "glabra" "Ulmus" "Ulmaceae"
"68CE" NA NA NA
"29AF" NA NA NA
