idp;a;veget5
506142 ;13;M
506184 ;11;M
506208 ;12;M
506208 ;23;M
506208 ;28;M
506208 ;30;M
506213 ;2;M
506484 ;12;6
506491 ;2;M
506515 ;15;M
506515 ;19;M
506570 ;2;M
506570 ;7;M
506574 ;13;M
506574 ;15;M
506660 ;1;M
506660 ;9;M
506660 ;13;M
506682 ;11;M
506682 ;26;M
506682 ;35;M
506769 ;5;M
506769 ;9;M
506769 ;10;M
506871 ;16;M
506883 ;3;N
506944 ;3;M
506944 ;4;M
506944 ;6;M
506944 ;9;M
506944 ;10;M
506944 ;15;M
506948 ;1;A
506953 ;6;M
506953 ;10;M
506953 ;11;M
507000 ;12;M
507001 ;5;N
507010 ;7;M
507010 ;8;A
507068 ;7;M
507108 ;4;M
507114 ;11;M
507116 ;5;M
507116 ;8;M
507116 ;10;M
507116 ;12;M
507116 ;14;M
507116 ;15;M
507116 ;16;M
507116 ;18;M
507116 ;22;M
507116 ;23;M
507116 ;25;M
507116 ;28;M
507129 ;26;M
507217 ;2;A
507240 ;14;M
507284 ;9;M
507284 ;10;M
507385 ;1;A
507402 ;5;M
507402 ;12;M
507410 ;6;6
507422 ;1;M
507435 ;15;6
507435 ;19;M
507497 ;14;M
507498 ;3;M
507498 ;15;M
507529 ;3;M
507543 ;3;M
507582 ;12;M
507668 ;4;M
507757 ;1;6
507763 ;1;M
507851 ;8;M
507854 ;11;6
507857 ;2;M
507857 ;3;M
507857 ;5;M
507857 ;14;M
507857 ;21;M
507857 ;23;M
507901 ;1;M
507901 ;2;M
507904 ;4;M
507960 ;4;M
508020 ;10;M
508020 ;14;M
508111 ;7;M
508122 ;12;M
508136 ;18;M
508241 ;16;M
508241 ;17;M
508241 ;18;M
508338 ;8;6
508343 ;1;M
508343 ;4;A
508343 ;5;M
508343 ;7;A
508343 ;8;M
508344 ;12;M
508344 ;13;M
508408 ;2;M
508408 ;11;N
508418 ;10;M
508418 ;11;A
508418 ;12;A
508418 ;15;M
508418 ;16;M
508455 ;8;6
508461 ;6;6
508461 ;16;6
508482 ;8;6
508508 ;5;A
508508 ;7;A
508508 ;11;A
508508 ;16;M
508529 ;2;M
508531 ;4;A
508608 ;5;M
508610 ;1;M
508610 ;3;M
508610 ;6;M
508610 ;14;M
508634 ;8;M
508634 ;12;M
508644 ;5;6
508714 ;3;M
508715 ;10;M
508715 ;16;M
508715 ;20;M
508715 ;26;M
508730 ;12;M
508730 ;16;M
508733 ;7;M
508733 ;10;M
508733 ;11;M
508733 ;12;M
508733 ;13;M
508733 ;15;M
508733 ;16;M
508733 ;17;M
508733 ;18;M
508733 ;19;M
508733 ;20;M
508733 ;21;M
508733 ;22;M
508733 ;23;M
508733 ;24;M
508733 ;28;M
508735 ;6;M
508735 ;10;A
508735 ;16;M
508747 ;13;M
508844 ;5;M
508844 ;15;M
508861 ;7;M
508875 ;3;A
508905 ;3;6
508905 ;16;6
508935 ;1;M
508935 ;3;M
508935 ;4;M
508935 ;11;M
508935 ;12;M
508949 ;19;6
508996 ;22;M
508996 ;28;M
509039 ;3;M
509040 ;8;M
509101 ;5;A
509101 ;11;A
509101 ;19;M
509101 ;23;M
509101 ;26;M
509101 ;27;M
509101 ;29;M
509138 ;2;M
509138 ;3;A
509138 ;4;A
509138 ;5;M
509156 ;7;M
509165 ;6;M
509224 ;1;M
509224 ;10;M
509247 ;21;M
509273 ;1;M
509322 ;9;M
509328 ;9;M
509328 ;16;M
509330 ;2;A
509364 ;24;M
509364 ;26;M
509364 ;28;6
509394 ;5;M
509394 ;13;6
509394 ;14;6
509394 ;17;6
509394 ;19;6
509394 ;20;6
509394 ;21;6
509394 ;22;6
509395 ;10;M
509395 ;15;M
509405 ;1;6
509405 ;3;6
509405 ;6;6
509405 ;8;6
509405 ;10;6
509405 ;11;6
509405 ;12;6
509405 ;13;6
509405 ;22;6
509405 ;23;6
509405 ;24;6
509405 ;26;6
509405 ;29;6
509405 ;32;6
509405 ;35;6
509405 ;36;6
509405 ;38;6
509405 ;39;6
509405 ;40;6
509405 ;41;6
509405 ;43;6
509432 ;1;M
509432 ;9;M
509432 ;12;M
509449 ;5;M
509449 ;13;M
509449 ;21;M
509468 ;1;M
509475 ;9;M
509491 ;17;M
509491 ;18;M
509554 ;2;A
509554 ;4;A
509554 ;5;A
509554 ;14;M
509554 ;15;M
509554 ;17;M
509565 ;1;A
509565 ;8;A
509586 ;13;M
509623 ;19;M
509652 ;5;M
509666 ;1;M
509666 ;2;M
509666 ;5;M
509666 ;8;M
509666 ;10;M
509666 ;16;M
509666 ;20;M
509666 ;21;M
509666 ;22;M
509690 ;1;A
509690 ;2;M
509690 ;8;A
509700 ;8;M
509809 ;3;6
509815 ;6;6
509815 ;7;6
509829 ;5;A
509829 ;6;M
509899 ;6;M
509975 ;3;M
509975 ;12;M
509975 ;13;A
509975 ;14;A
509991 ;2;M
509991 ;3;M
509993 ;14;M
509997 ;18;M
509997 ;23;M
510005 ;10;M
510005 ;12;M
510040 ;12;N
510040 ;13;N
510085 ;7;M
510085 ;14;M
510085 ;15;M
510085 ;16;M
510085 ;18;M
510085 ;19;A
510085 ;22;M
510085 ;27;M
510085 ;29;M
510085 ;30;M
510085 ;35;M
510143 ;1;M
510143 ;8;M
510143 ;9;M
510143 ;11;M
510163 ;4;6
510163 ;10;6
510163 ;17;6
510163 ;26;6
510181 ;1;M
510181 ;11;M
510181 ;19;M
510181 ;24;M
510181 ;26;M
510215 ;4;M
510215 ;6;M
510215 ;11;M
510261 ;11;M
510261 ;13;M
510261 ;23;M
510261 ;24;M
510302 ;23;M
510317 ;22;M
510346 ;6;M
510363 ;17;M
510380 ;2;A
510380 ;7;N
510380 ;8;N
510380 ;9;M
510380 ;10;N
510380 ;13;M
510380 ;15;M
510392 ;3;M
510398 ;2;M
510430 ;1;M
510430 ;4;A
510432 ;4;M
510432 ;24;A
510472 ;9;M
510527 ;2;M
510527 ;19;M
510527 ;28;M
510571 ;1;A
510571 ;3;M
510571 ;6;A
510603 ;16;M
510610 ;12;M
510610 ;20;M
510610 ;25;M
510610 ;26;M
510642 ;2;6
510642 ;6;6
510642 ;7;M
510642 ;11;6
510642 ;12;6
510642 ;13;6
510659 ;1;M
510659 ;26;M
510668 ;6;M
510684 ;6;M
510684 ;12;A
510684 ;14;M
510746 ;4;M
510750 ;15;6
510791 ;4;6
510791 ;11;M
510791 ;12;M
510791 ;15;6
510841 ;4;6
510842 ;30;M
510914 ;4;M
510914 ;8;M
510914 ;10;M
510914 ;14;M
510914 ;16;M
510914 ;17;M
510914 ;20;M
510914 ;21;M
510914 ;23;M
510914 ;27;M
510957 ;4;N
511006 ;5;M
511006 ;6;M
511006 ;8;M
511013 ;2;M
511013 ;13;M
511019 ;3;A
511019 ;8;M
511055 ;3;M
511055 ;4;M
511055 ;8;M
511055 ;9;M
511055 ;11;M
511055 ;12;M
511055 ;13;M
511055 ;16;M
511055 ;17;M
511055 ;18;M
511090 ;3;M
511090 ;7;M
511090 ;12;M
511119 ;26;M
511167 ;6;M
511167 ;14;M
511167 ;24;M
511172 ;6;A
511172 ;9;M
511172 ;12;M
511172 ;15;A
511172 ;16;M
511172 ;19;M
511172 ;22;M
511189 ;4;M
511221 ;4;M
511231 ;3;6
511231 ;11;6
511231 ;22;6
511231 ;23;6
511231 ;26;6
511231 ;27;6
511231 ;29;6
511236 ;2;A
511236 ;3;A
511236 ;6;M
511236 ;16;M
511236 ;17;M
511380 ;4;M
511380 ;5;M
511401 ;2;M
511401 ;13;M
511419 ;7;M
511419 ;10;M
511419 ;13;A
511437 ;2;6
511437 ;4;6
511437 ;6;6
511437 ;10;6
511437 ;13;6
511485 ;2;A
511485 ;10;N
511528 ;2;M
511528 ;5;M
511528 ;7;M
511528 ;11;M
511528 ;14;A
511556 ;5;M
511658 ;9;6
511658 ;11;6
511658 ;18;6
511689 ;4;M
511732 ;4;M
511732 ;13;M
511751 ;9;A
511805 ;9;M
511828 ;3;M
511828 ;8;M
511844 ;5;M
511855 ;3;M
511855 ;10;M
511874 ;16;M
511880 ;12;6
511910 ;13;M
511910 ;15;M
511952 ;6;M
511952 ;15;M
511979 ;8;M
512040 ;3;M
512040 ;7;M
512040 ;11;M
512040 ;18;M
512040 ;20;M
512079 ;12;M
512089 ;16;A
512221 ;1;M
512221 ;2;M
512221 ;10;M
512310 ;8;M
512324 ;6;6
512324 ;7;6
512324 ;8;6
512328 ;11;M
512339 ;1;M
512340 ;6;M
512350 ;18;6
512393 ;2;M
512393 ;3;M
512393 ;6;M
512393 ;7;M
512393 ;10;M
512429 ;13;M
512429 ;22;M
512429 ;26;M
512444 ;6;M
512444 ;19;M
512457 ;1;A
512457 ;3;A
512457 ;6;A
512457 ;8;A
512457 ;10;A
512468 ;10;M
512480 ;17;M
512506 ;1;6
512506 ;5;6
512506 ;6;6
512506 ;9;6
512506 ;10;6
512511 ;4;M
512511 ;14;A
512565 ;6;M
512571 ;11;M
512571 ;14;M
512669 ;11;M
512669 ;13;M
512669 ;16;M
512669 ;22;M
512698 ;3;M
512698 ;4;M
512698 ;8;M
512698 ;9;M
512723 ;1;M
512723 ;6;M
512723 ;8;M
512723 ;18;M
512764 ;1;M
512764 ;7;M
512846 ;3;M
512855 ;5;M
512872 ;5;N
512904 ;7;M
512913 ;4;M
512946 ;6;M
512972 ;7;M
512972 ;14;M
513018 ;9;M
513018 ;18;M
513018 ;20;M
513101 ;11;M
513101 ;14;M
513107 ;2;M
513172 ;1;N
513172 ;2;M
513172 ;7;M
513172 ;15;M
513172 ;16;M
513177 ;5;6
513177 ;10;6
513237 ;1;M
513237 ;5;M
513237 ;6;M
513283 ;4;M
513288 ;6;A
513338 ;5;A
513338 ;8;A
513338 ;10;A
513354 ;4;6
513354 ;5;6
513354 ;6;6
513398 ;8;M
513466 ;4;M
513567 ;13;M
513609 ;11;M
513609 ;16;M
513609 ;19;M
513650 ;2;M
513653 ;3;M
513726 ;5;M
513726 ;9;M
513733 ;2;M
513733 ;4;M
513733 ;6;M
513733 ;7;M
513733 ;9;M
513733 ;10;M
513733 ;13;M
513733 ;16;M
513733 ;17;M
513733 ;18;M
513733 ;21;M
513733 ;23;M
513733 ;24;M
513733 ;25;M
513733 ;26;M
513733 ;29;M
513733 ;31;M
513733 ;32;M
513733 ;36;M
513751 ;2;M
513751 ;20;M
513759 ;12;M
513767 ;5;M
513806 ;2;A
513806 ;3;A
513884 ;2;M
513884 ;3;M
513884 ;4;M
513884 ;6;M
513884 ;8;M
513884 ;10;M
513884 ;12;M
513884 ;14;M
513884 ;17;M
513884 ;20;M
513884 ;24;M
513884 ;26;M
513884 ;30;M
513908 ;8;M
513908 ;10;M
513908 ;11;M
513908 ;12;M
513908 ;15;M
513908 ;17;M
513908 ;21;M
513952 ;1;M
513978 ;8;M
513978 ;9;M
514138 ;3;6
514138 ;4;6
514138 ;7;6
514138 ;9;6
514138 ;10;6
514138 ;12;6
514138 ;13;6
514138 ;18;6
514138 ;19;6
514138 ;20;6
514138 ;21;6
514138 ;22;6
514138 ;23;6
514138 ;27;6
514138 ;28;6
514138 ;30;6
514138 ;31;6
514138 ;33;6
514138 ;37;6
514138 ;39;6
514138 ;41;6
514156 ;11;M
514156 ;13;M
514270 ;17;M
514271 ;4;M
514271 ;9;M
514386 ;3;M
514386 ;4;M
514386 ;5;M
514386 ;9;M
514386 ;17;M
514386 ;22;M
514390 ;9;M
514390 ;25;M
514424 ;5;M
514457 ;1;M
514457 ;3;M
514457 ;5;M
514457 ;16;M
514457 ;17;M
514457 ;23;M
514457 ;24;M
514479 ;5;M
514584 ;3;M
