idp;a;veget5
556450 ;3;N
556450 ;4;M
556450 ;5;M
556450 ;6;M
556450 ;12;N
556485 ;8;M
556592 ;8;M
556592 ;9;M
556623 ;1;M
556623 ;10;A
556623 ;13;A
556623 ;14;A
556682 ;3;M
556756 ;1;M
556756 ;2;M
556888 ;4;M
556910 ;3;N
556997 ;5;A
556997 ;6;A
557015 ;4;M
557031 ;1;M
557031 ;3;M
557031 ;4;M
557031 ;5;M
557031 ;6;M
557031 ;7;M
557031 ;8;M
557031 ;9;M
557031 ;10;M
557031 ;11;M
557031 ;12;M
557031 ;13;M
557031 ;14;M
557031 ;15;M
557031 ;38;M
557031 ;40;M
557039 ;1;M
557039 ;5;M
557066 ;1;M
557066 ;6;6
557067 ;6;A
557067 ;9;A
557134 ;2;6
557134 ;4;6
557134 ;5;6
557134 ;6;6
557134 ;9;6
557134 ;18;M
557233 ;10;M
557261 ;15;M
557279 ;6;M
557279 ;7;M
557279 ;16;M
557279 ;19;M
557288 ;7;M
557292 ;3;M
557301 ;23;M
557643 ;20;M
557643 ;22;6
557643 ;23;6
557643 ;24;6
557739 ;12;M
557739 ;15;M
557756 ;1;M
557756 ;4;M
557756 ;5;M
557756 ;6;M
557756 ;9;M
557756 ;12;M
557756 ;13;M
557756 ;14;M
557756 ;17;M
557756 ;19;M
557756 ;21;M
557756 ;23;M
557756 ;24;M
557756 ;25;M
557756 ;27;M
557756 ;28;M
557756 ;32;M
557756 ;33;M
557804 ;5;6
557821 ;12;A
557821 ;13;A
557831 ;4;M
557862 ;2;M
557862 ;7;M
557942 ;5;M
557942 ;18;6
558072 ;2;M
558103 ;5;N
558130 ;10;N
558156 ;5;M
558156 ;13;M
558156 ;14;M
558178 ;12;M
558182 ;1;M
558182 ;5;M
558202 ;11;M
558202 ;18;A
558228 ;7;M
558228 ;9;M
558228 ;21;M
558264 ;1;M
558346 ;1;N
558346 ;7;M
558346 ;8;M
558390 ;1;M
558390 ;10;M
558390 ;14;M
558467 ;10;A
558475 ;2;M
558518 ;21;M
558590 ;5;M
558617 ;4;6
558617 ;5;6
558617 ;8;6
558617 ;24;6
558692 ;1;M
558700 ;2;M
558706 ;7;M
558706 ;16;M
558769 ;8;M
558769 ;18;M
558769 ;19;M
558796 ;13;M
558828 ;1;N
558852 ;10;M
558852 ;18;M
558892 ;7;M
558892 ;8;M
558892 ;9;M
558896 ;3;M
558896 ;4;M
558896 ;8;M
558896 ;10;M
558896 ;14;A
558896 ;16;A
558948 ;1;M
558948 ;6;M
558965 ;12;M
558981 ;13;M
559023 ;9;A
559053 ;2;N
559066 ;5;A
559118 ;6;M
559127 ;1;M
559127 ;2;M
559174 ;1;M
559174 ;6;M
559174 ;8;M
559174 ;11;M
559174 ;23;M
559174 ;25;M
559174 ;29;M
559174 ;30;M
559174 ;31;M
559174 ;36;M
559174 ;37;M
559174 ;38;M
559174 ;42;M
559174 ;45;M
559174 ;46;M
559176 ;6;M
559176 ;9;A
559176 ;12;M
559188 ;12;M
559255 ;1;A
559255 ;4;6
559255 ;5;A
559255 ;8;6
559389 ;12;M
559389 ;25;M
559391 ;6;M
559391 ;7;M
559391 ;16;M
559393 ;6;6
559393 ;16;6
559479 ;4;M
559479 ;7;M
559479 ;19;M
559479 ;25;M
559479 ;29;M
559499 ;2;6
559520 ;3;M
559520 ;5;N
559520 ;11;M
559520 ;12;M
559534 ;2;M
559534 ;6;M
559534 ;19;M
559534 ;22;M
559534 ;23;M
559537 ;10;M
559584 ;6;M
559584 ;19;M
559584 ;22;M
559584 ;24;M
559591 ;12;M
559592 ;4;M
559740 ;1;M
559749 ;11;M
559814 ;3;M
559814 ;4;M
559814 ;5;M
559814 ;12;M
559814 ;13;M
559909 ;3;M
559934 ;2;M
559962 ;1;M
559962 ;10;M
559974 ;10;M
559980 ;10;M
559999 ;2;6
559999 ;11;6
559999 ;14;6
560020 ;15;M
560020 ;17;M
560065 ;1;M
560065 ;9;M
560065 ;16;M
560065 ;17;M
560065 ;18;M
560093 ;2;N
560093 ;15;N
560132 ;2;M
560132 ;3;M
560132 ;4;M
560132 ;17;A
560164 ;4;M
560164 ;5;M
560183 ;12;N
560238 ;2;M
560238 ;3;M
560238 ;4;M
560240 ;1;6
560246 ;4;M
560325 ;5;M
560345 ;8;M
560345 ;15;M
560345 ;18;6
560349 ;11;M
560445 ;1;M
560445 ;2;M
560468 ;2;M
560468 ;21;M
560498 ;11;M
560498 ;12;M
560498 ;20;6
560498 ;25;6
560517 ;2;A
560538 ;8;6
560609 ;6;M
560609 ;12;M
560609 ;13;M
560609 ;14;M
560609 ;15;M
560609 ;17;M
560650 ;5;M
560671 ;5;A
560671 ;6;A
560671 ;7;A
560671 ;8;A
560683 ;13;M
560697 ;2;A
560697 ;3;6
560697 ;4;A
560697 ;5;A
560697 ;6;A
560697 ;7;A
560697 ;9;M
560697 ;23;6
560705 ;1;M
560705 ;11;M
560705 ;12;M
560705 ;19;M
560744 ;10;M
560755 ;1;M
560755 ;4;M
560777 ;1;M
560777 ;9;M
560812 ;13;M
560812 ;23;M
560812 ;27;M
560812 ;28;M
560812 ;29;M
560817 ;9;N
560852 ;5;M
560852 ;6;M
560852 ;16;M
560873 ;8;N
560873 ;11;N
560904 ;1;M
560911 ;7;A
560911 ;10;M
561005 ;4;M
561005 ;18;M
561039 ;4;M
561039 ;20;M
561039 ;21;M
561039 ;22;M
561064 ;3;M
561064 ;4;M
561136 ;4;M
561136 ;5;M
561136 ;6;M
561136 ;10;M
561136 ;11;M
561219 ;2;M
561219 ;4;M
561219 ;12;M
561219 ;16;M
561274 ;7;A
561323 ;1;M
561323 ;15;M
561323 ;16;M
561369 ;8;M
561369 ;9;A
561381 ;8;M
561383 ;14;M
561414 ;1;6
561414 ;11;6
561414 ;12;6
561414 ;15;N
561414 ;16;N
561414 ;17;N
561425 ;8;M
561425 ;10;M
561438 ;10;M
561438 ;20;M
561441 ;5;M
561441 ;8;M
561498 ;3;6
561498 ;5;6
561498 ;6;6
561542 ;4;M
561542 ;14;M
561602 ;7;A
561602 ;8;A
561611 ;4;M
561646 ;4;M
561692 ;1;M
561722 ;9;M
561725 ;1;M
561725 ;8;M
561726 ;8;M
561726 ;12;M
561726 ;13;A
561763 ;1;6
561763 ;3;6
561763 ;5;6
561763 ;7;6
561766 ;13;6
561856 ;11;M
561868 ;8;N
561921 ;20;M
561921 ;21;M
561934 ;6;M
561944 ;2;M
561944 ;10;M
561955 ;4;M
561955 ;8;M
561955 ;9;M
561955 ;10;M
561955 ;11;M
561955 ;12;M
561955 ;15;M
561972 ;2;M
561972 ;3;M
561972 ;19;M
561979 ;12;M
561979 ;18;M
562028 ;6;6
562047 ;1;N
562047 ;2;N
562047 ;3;N
562047 ;4;N
562047 ;5;N
562047 ;6;N
562127 ;11;M
562127 ;22;M
562134 ;1;M
562134 ;3;M
562250 ;7;M
562250 ;10;M
562308 ;2;A
562308 ;9;M
562308 ;19;M
562327 ;13;M
562327 ;14;M
562327 ;16;M
562327 ;17;M
562327 ;19;M
562348 ;1;M
562348 ;2;M
562348 ;4;M
562348 ;8;M
562348 ;9;M
562348 ;10;M
562348 ;22;M
562349 ;3;6
562349 ;8;M
562373 ;3;M
562373 ;9;A
562458 ;5;A
562470 ;4;M
562559 ;1;M
562694 ;12;6
562710 ;20;M
562863 ;1;M
562863 ;4;A
562877 ;1;M
562877 ;5;M
562893 ;10;M
562918 ;9;M
562918 ;11;M
562918 ;14;M
562918 ;25;M
562918 ;31;M
562918 ;36;M
562918 ;41;M
562918 ;45;M
562928 ;7;M
562928 ;11;M
562956 ;6;M
562966 ;4;M
562971 ;8;M
562986 ;1;6
562986 ;5;6
563028 ;8;M
563028 ;26;M
563045 ;15;M
563045 ;17;M
563063 ;1;A
563064 ;5;N
563064 ;6;N
563117 ;6;M
563117 ;9;M
563156 ;12;6
563193 ;2;A
563193 ;4;A
563241 ;5;A
563346 ;1;M
563346 ;9;M
563346 ;14;M
563346 ;23;M
563372 ;7;M
563372 ;19;M
563372 ;20;M
563372 ;21;M
563372 ;22;M
563509 ;1;N
563526 ;10;M
563614 ;5;6
563614 ;8;6
563618 ;14;A
563618 ;15;A
563681 ;10;M
563740 ;3;6
563740 ;7;6
563786 ;17;M
563822 ;5;6
563822 ;7;6
563824 ;12;N
563874 ;3;M
563886 ;1;M
563886 ;2;M
563886 ;20;M
563916 ;4;M
563916 ;6;M
563916 ;18;M
563966 ;2;M
563966 ;3;M
563966 ;4;M
563966 ;5;M
563966 ;6;M
563966 ;7;M
563966 ;8;M
563966 ;9;M
563966 ;10;M
563966 ;11;M
563966 ;12;M
563966 ;13;M
563966 ;14;M
563966 ;15;M
563995 ;11;A
563995 ;12;A
564028 ;16;M
564028 ;17;M
564103 ;3;M
564207 ;1;M
564207 ;14;M
564207 ;16;M
564207 ;17;M
564207 ;21;M
564207 ;22;M
564207 ;23;M
564207 ;25;M
564207 ;27;M
564220 ;4;6
564220 ;10;M
564226 ;1;M
564226 ;2;M
564272 ;4;M
564272 ;19;M
564287 ;6;M
564287 ;13;M
564312 ;5;M
564312 ;12;6
564332 ;2;M
564347 ;2;M
564347 ;9;M
564347 ;10;M
564347 ;11;M
564347 ;16;M
564347 ;18;M
564443 ;1;M
564443 ;3;M
564464 ;12;M
564465 ;8;M
564465 ;18;M
564465 ;19;M
564485 ;9;M
564485 ;10;M
564485 ;21;M
564555 ;2;N
564587 ;9;M
564595 ;3;M
564595 ;4;M
564618 ;3;M
564652 ;11;M
564705 ;1;M
564705 ;2;M
564705 ;10;M
564705 ;11;M
564705 ;12;M
564705 ;14;M
564705 ;18;M
564758 ;31;M
564787 ;9;M
564816 ;10;M
564816 ;14;M
564816 ;17;M
564816 ;19;M
564816 ;21;M
564843 ;9;6
564843 ;11;6
564880 ;6;M
565005 ;10;A
565005 ;13;A
565005 ;18;M
565005 ;21;A
565026 ;12;M
565079 ;1;M
565107 ;11;M
565160 ;4;M
565160 ;11;M
565160 ;12;M
565160 ;13;M
565160 ;14;M
565160 ;15;M
565160 ;16;M
565160 ;18;M
565160 ;19;M
565160 ;20;M
565160 ;24;M
565160 ;26;M
565160 ;27;M
565204 ;3;M
565235 ;5;M
565235 ;6;M
565235 ;7;M
565235 ;10;M
565235 ;24;M
565235 ;25;M
565251 ;1;6
565363 ;10;M
565363 ;11;M
565377 ;4;M
565423 ;3;6
565423 ;5;6
565427 ;5;M
565427 ;11;M
565427 ;12;M
565427 ;14;M
565427 ;20;M
565427 ;24;M
565427 ;25;M
565481 ;18;M
565519 ;7;M
565519 ;9;M
565519 ;12;A
565519 ;15;M
565524 ;5;M
565537 ;5;M
565537 ;16;M
565537 ;21;M
565537 ;22;M
565537 ;23;M
565537 ;24;M
565537 ;25;M
565537 ;26;N
565537 ;27;N
565661 ;2;M
565750 ;2;M
565851 ;6;M
565851 ;10;M
565898 ;4;M
565898 ;13;M
565898 ;14;M
565931 ;7;M
565970 ;4;M
565970 ;6;M
565970 ;7;M
565977 ;2;M
565977 ;5;M
565997 ;1;M
565997 ;2;M
565997 ;3;M
565997 ;5;M
565997 ;16;M
566056 ;4;M
566056 ;12;M
566056 ;16;M
566056 ;18;M
566167 ;2;M
566167 ;3;M
566167 ;4;M
566167 ;5;M
566167 ;6;M
566167 ;7;M
566167 ;8;M
566167 ;9;M
566167 ;12;M
566167 ;17;M
566254 ;16;M
566254 ;17;M
566254 ;19;M
566289 ;12;M
566389 ;10;M
566389 ;13;M
566416 ;17;M
566464 ;22;M
566464 ;25;M
566551 ;7;M
566551 ;8;M
566551 ;11;M
566551 ;14;M
566551 ;15;M
566568 ;2;M
566570 ;2;M
566570 ;3;M
566570 ;7;M
566570 ;8;M
566570 ;9;M
566570 ;10;M
566570 ;15;M
566586 ;1;M
566586 ;3;M
566586 ;5;M
566586 ;10;M
566586 ;18;M
566586 ;21;M
566586 ;29;M
566586 ;35;M
566586 ;39;M
566602 ;17;M
566715 ;1;6
566743 ;3;M
566743 ;4;M
566817 ;3;A
566825 ;7;M
566825 ;20;M
566825 ;33;M
566837 ;2;M
566837 ;20;M
566837 ;24;M
566842 ;1;M
566856 ;7;M
566856 ;8;M
566889 ;5;6
566942 ;2;A
566956 ;3;M
566956 ;4;M
566956 ;7;M
566956 ;11;A
566956 ;12;A
566956 ;13;A
567059 ;1;N
567074 ;1;M
567074 ;5;M
567084 ;3;M
567084 ;5;M
567084 ;9;M
567146 ;4;M
567146 ;5;A
567146 ;9;M
567146 ;10;A
567146 ;15;M
567146 ;19;M
567197 ;11;M
567197 ;13;M
567197 ;14;M
567238 ;12;M
567238 ;13;M
567280 ;12;M
567288 ;22;M
567323 ;10;M
567323 ;29;M
567329 ;4;M
567359 ;2;M
567359 ;3;M
567359 ;4;M
567359 ;6;M
567359 ;9;M
567359 ;19;M
567359 ;32;M
567365 ;4;M
567365 ;8;M
567451 ;3;M
567469 ;9;6
567501 ;8;6
567537 ;7;6
567551 ;3;M
567557 ;2;M
567557 ;5;M
567557 ;7;M
567557 ;9;M
567630 ;11;M
567716 ;1;M
567716 ;10;M
567717 ;5;6
567717 ;14;6
567717 ;16;6
567717 ;18;6
567717 ;20;6
567749 ;10;N
567749 ;11;N
567749 ;12;N
567749 ;21;M
567765 ;4;A
567765 ;13;M
567765 ;16;M
567787 ;9;M
567812 ;10;M
567874 ;1;N
567874 ;2;N
567874 ;3;N
567939 ;3;A
567971 ;11;M
568120 ;1;6
568135 ;11;M
568146 ;6;M
568146 ;8;A
568146 ;26;M
568183 ;1;M
568188 ;1;M
568288 ;6;M
568295 ;6;6
568343 ;17;M
568343 ;19;A
568405 ;17;M
568408 ;2;6
568408 ;5;6
568408 ;7;6
568408 ;9;6
568408 ;12;6
568408 ;15;6
568408 ;17;6
568408 ;21;6
568408 ;25;6
568408 ;31;6
568558 ;2;M
568558 ;6;A
568558 ;7;M
568580 ;7;M
568580 ;12;M
568580 ;18;M
568580 ;19;M
568580 ;22;M
568580 ;25;M
568580 ;28;M
568594 ;13;M
568608 ;17;M
568608 ;20;M
568608 ;22;M
568648 ;5;M
568677 ;7;M
568743 ;15;M
568777 ;1;6
568777 ;2;6
568777 ;3;6
568777 ;8;6
568777 ;14;6
568777 ;15;6
568777 ;18;6
568777 ;25;6
568790 ;3;M
568790 ;4;M
568790 ;11;M
568790 ;21;A
568798 ;1;M
568821 ;3;M
568821 ;10;A
568841 ;5;M
568841 ;6;M
568841 ;9;M
568843 ;3;M
568843 ;9;M
568843 ;11;M
568843 ;17;M
568871 ;14;M
568927 ;5;6
568927 ;7;6
568927 ;8;6
568927 ;13;6
568927 ;22;6
568927 ;25;6
568927 ;27;6
568927 ;28;6
568955 ;13;M
568955 ;15;M
568982 ;7;6
568989 ;1;M
569032 ;8;M
569032 ;10;M
569034 ;1;M
569067 ;17;6
569069 ;19;M
569121 ;7;M
569126 ;2;M
569126 ;4;M
569126 ;15;M
569126 ;23;M
569161 ;1;M
569246 ;5;6
569279 ;14;M
569279 ;16;M
569279 ;19;M
569279 ;21;M
569279 ;22;M
569279 ;25;M
569319 ;9;A
569319 ;17;A
569343 ;11;6
569366 ;13;M
569366 ;15;M
569386 ;3;M
569386 ;5;M
569386 ;7;M
569386 ;8;M
569402 ;6;M
569427 ;8;M
569440 ;8;M
569512 ;10;M
569512 ;13;M
569542 ;4;N
569542 ;13;M
569583 ;5;M
569583 ;9;M
569648 ;15;M
569649 ;1;N
569649 ;2;N
569649 ;3;N
569649 ;5;M
569649 ;7;M
569680 ;12;M
569725 ;9;M
569869 ;3;M
569869 ;4;M
569869 ;7;M
569869 ;8;M
569869 ;9;M
569869 ;10;M
569904 ;7;M
569910 ;1;M
569910 ;2;M
569910 ;5;M
569910 ;7;M
569910 ;9;M
569910 ;10;M
569910 ;13;M
569910 ;15;M
569910 ;17;M
569918 ;14;M
569960 ;2;M
569960 ;6;M
570002 ;7;A
570002 ;14;M
570015 ;18;M
570061 ;13;M
570086 ;2;M
570086 ;3;M
570086 ;8;M
570157 ;2;M
570176 ;8;M
570176 ;22;M
570179 ;1;N
570179 ;2;N
570179 ;3;N
570200 ;3;6
570211 ;6;M
570217 ;1;6
570217 ;5;6
570217 ;7;6
570217 ;9;6
570256 ;22;M
570305 ;8;M
570305 ;13;M
570305 ;15;M
570305 ;24;M
570305 ;32;M
570341 ;19;M
570341 ;23;M
570341 ;25;M
570344 ;11;M
570344 ;13;M
570443 ;1;6
570443 ;20;6
570443 ;22;6
570443 ;23;6
570443 ;25;6
570443 ;28;6
570443 ;31;6
570472 ;10;M
570472 ;15;M
570491 ;5;M
570510 ;4;M
570510 ;5;M
570510 ;7;M
570510 ;8;M
570510 ;9;M
570510 ;16;A
570510 ;22;M
570510 ;23;M
570538 ;15;M
570559 ;4;M
570621 ;3;M
570621 ;12;M
570621 ;14;M
570621 ;15;M
570624 ;7;M
570661 ;6;M
570661 ;7;M
570676 ;21;M
570878 ;10;6
570878 ;11;6
570878 ;12;6
570878 ;13;6
570878 ;14;6
570886 ;2;A
570914 ;14;M
570934 ;11;M
570934 ;12;M
570945 ;5;M
570945 ;6;M
570945 ;7;M
570962 ;14;M
570975 ;4;M
570976 ;3;M
570976 ;6;A
570976 ;7;A
570976 ;8;A
570976 ;9;A
570976 ;11;M
570976 ;15;M
571123 ;10;M
571134 ;9;M
571134 ;11;M
571134 ;27;M
571202 ;7;M
571202 ;9;M
571202 ;15;M
571202 ;17;M
571209 ;9;M
571213 ;4;M
571213 ;11;M
571213 ;14;M
571235 ;2;M
571235 ;6;M
571235 ;9;M
571332 ;1;M
571332 ;4;M
571366 ;8;M
571366 ;10;M
571402 ;6;M
571404 ;6;6
571404 ;7;6
571481 ;1;N
571488 ;8;M
571488 ;11;M
571614 ;8;M
571614 ;9;M
571680 ;8;M
571705 ;3;M
571763 ;2;6
571763 ;7;6
571763 ;9;6
571828 ;4;M
571828 ;11;M
571858 ;5;A
571858 ;9;M
571858 ;10;M
571916 ;3;M
571916 ;7;M
571916 ;9;M
571928 ;4;M
571928 ;5;M
571928 ;8;M
571928 ;14;M
571928 ;16;M
571928 ;18;M
571928 ;19;M
571928 ;20;M
571949 ;10;M
571949 ;11;M
571949 ;12;M
571949 ;13;M
572010 ;1;N
572071 ;1;6
572071 ;3;6
572071 ;16;6
572134 ;5;M
572172 ;5;M
572172 ;13;N
572228 ;16;M
572228 ;19;M
572233 ;5;M
572257 ;22;M
572276 ;3;M
572276 ;9;M
572318 ;3;M
572338 ;3;M
572338 ;4;M
572338 ;11;M
572352 ;7;M
572352 ;21;M
572369 ;6;M
572420 ;2;M
572420 ;9;M
572425 ;17;6
572425 ;22;6
572428 ;6;M
572442 ;9;M
572442 ;20;M
572442 ;21;M
572465 ;8;6
572483 ;13;6
572483 ;14;6
572495 ;10;M
572501 ;1;M
572532 ;9;6
572532 ;18;6
572532 ;28;6
572560 ;2;M
572618 ;20;M
572623 ;9;6
572626 ;7;A
572626 ;8;A
572626 ;12;A
572629 ;7;M
572629 ;18;M
572639 ;7;M
572677 ;5;M
572686 ;6;N
572723 ;1;M
572866 ;10;M
572929 ;14;M
572929 ;15;A
572960 ;2;M
572960 ;6;M
572960 ;8;M
572960 ;9;M
572989 ;10;M
573215 ;8;M
573217 ;9;N
573271 ;2;M
573271 ;7;M
573271 ;9;M
573271 ;12;M
573271 ;13;M
573271 ;14;M
573358 ;7;M
573358 ;8;M
573369 ;10;M
573382 ;6;6
573388 ;9;A
573388 ;12;A
573424 ;5;M
573424 ;10;M
573424 ;20;M
573429 ;2;N
573429 ;3;N
573429 ;4;N
573441 ;6;6
573462 ;9;6
573491 ;2;M
573491 ;3;M
573513 ;7;M
573523 ;10;M
573540 ;15;M
573540 ;16;M
573540 ;17;M
573540 ;18;M
573540 ;19;M
573540 ;20;M
573540 ;21;M
573546 ;12;N
573572 ;5;M
573576 ;3;N
573662 ;1;M
573772 ;4;M
573822 ;32;M
573826 ;3;M
573826 ;13;M
573833 ;16;M
573851 ;20;M
573851 ;24;M
573851 ;27;M
573906 ;1;M
573906 ;4;M
573906 ;5;M
573963 ;6;A
573963 ;7;A
573963 ;8;A
573963 ;9;A
573963 ;10;A
573963 ;11;A
573963 ;12;N
573963 ;17;M
573963 ;22;M
574067 ;5;M
574076 ;3;A
574076 ;4;A
574076 ;5;A
574076 ;9;M
574076 ;10;M
574076 ;15;M
574076 ;17;M
574076 ;18;M
574095 ;10;M
574112 ;3;M
574112 ;9;M
574192 ;1;M
574216 ;1;A
574216 ;18;M
574216 ;22;M
574216 ;23;A
574216 ;24;M
574310 ;3;M
574354 ;1;N
574373 ;5;6
574382 ;4;M
574388 ;13;6
574388 ;16;6
574388 ;18;6
574388 ;19;6
574388 ;23;6
574388 ;25;M
574469 ;8;6
574469 ;11;N
574521 ;1;M
574521 ;2;M
574521 ;3;M
574521 ;10;M
574521 ;14;M
574521 ;15;M
574521 ;16;M
574537 ;9;M
574605 ;4;M
574636 ;2;M
574669 ;6;M
574669 ;10;M
574761 ;1;M
574761 ;10;M
574761 ;14;M
574761 ;16;M
574761 ;22;M
574780 ;5;M
574857 ;13;M
574862 ;16;M
574870 ;18;M
574878 ;3;M
574878 ;4;M
574878 ;10;M
574902 ;7;A
574902 ;9;A
574902 ;14;M
574947 ;4;M
574958 ;3;M
574958 ;9;A
574958 ;10;A
574958 ;11;A
574958 ;12;A
574958 ;13;A
574958 ;14;A
574958 ;15;A
574958 ;16;A
574958 ;19;A
574958 ;24;M
574958 ;25;M
575007 ;21;M
575007 ;38;M
575051 ;14;N
575085 ;3;M
575085 ;4;M
575085 ;5;M
575139 ;2;6
575139 ;3;6
575139 ;13;6
575141 ;2;M
575184 ;3;M
575190 ;8;M
575205 ;7;M
575205 ;9;M
575243 ;4;M
575243 ;21;M
575411 ;22;M
575532 ;1;M
575532 ;5;M
575620 ;4;6
575620 ;23;6
575652 ;10;M
575807 ;9;M
575807 ;19;M
575807 ;21;M
575807 ;30;M
575841 ;8;M
575841 ;10;M
575841 ;21;M
575856 ;13;M
575950 ;6;M
575977 ;13;M
575977 ;14;M
575977 ;15;M
575977 ;16;M
575977 ;18;M
575977 ;20;M
576021 ;3;M
576021 ;8;M
576023 ;2;M
576023 ;9;N
576023 ;11;M
576036 ;2;M
576039 ;4;M
576039 ;9;A
576043 ;1;6
576043 ;2;6
576043 ;4;6
576043 ;6;6
576043 ;15;6
576043 ;28;6
576043 ;31;6
576043 ;42;6
576112 ;17;M
576154 ;6;6
576211 ;14;M
576256 ;2;M
576257 ;7;M
576276 ;6;M
576295 ;4;M
576318 ;3;M
576414 ;12;6
576432 ;12;M
576464 ;1;M
576474 ;7;M
576484 ;10;M
576499 ;1;M
576499 ;3;M
576499 ;18;M
576507 ;8;M
576553 ;1;M
576553 ;9;M
576553 ;22;M
576561 ;17;M
576581 ;5;M
576581 ;17;M
576581 ;20;M
576581 ;22;M
576615 ;6;M
576615 ;7;M
576615 ;25;M
576728 ;13;M
576762 ;2;M
576762 ;10;M
576808 ;1;N
576842 ;2;M
576842 ;3;M
576842 ;4;M
576872 ;2;M
576872 ;11;M
576894 ;2;M
576894 ;12;M
576894 ;19;M
576973 ;8;M
576973 ;12;M
576978 ;5;A
576978 ;7;M
577019 ;16;M
577019 ;17;M
577026 ;1;M
577026 ;9;M
577201 ;12;6
577201 ;13;M
577236 ;16;M
577236 ;27;M
577269 ;19;M
577273 ;1;M
577290 ;2;M
577290 ;6;M
577320 ;1;M
577320 ;2;M
577320 ;6;M
577320 ;7;M
577320 ;8;M
577320 ;18;M
577320 ;20;M
577321 ;8;M
577326 ;2;6
577333 ;13;M
577377 ;4;M
577428 ;15;A
577456 ;8;A
577468 ;9;M
577468 ;11;M
577468 ;12;M
577501 ;6;M
577501 ;7;A
577527 ;12;M
577534 ;7;6
577565 ;10;M
577678 ;2;M
577737 ;2;M
577776 ;3;M
577776 ;5;M
577776 ;6;M
577776 ;21;M
577776 ;27;M
577776 ;31;M
577812 ;1;N
577812 ;2;N
577812 ;3;N
577812 ;4;N
577812 ;5;N
577835 ;6;M
577858 ;3;M
577868 ;2;M
577868 ;8;M
577868 ;17;M
577871 ;3;N
577871 ;5;M
577871 ;14;M
577871 ;17;M
577942 ;2;M
577943 ;24;M
577943 ;25;M
578030 ;2;M
578042 ;6;6
578088 ;8;M
578088 ;11;M
578113 ;6;M
578113 ;8;M
578113 ;12;M
578113 ;18;M
578113 ;19;M
578161 ;2;M
578161 ;3;M
578166 ;1;6
578166 ;2;6
578166 ;3;6
578166 ;4;6
578166 ;6;6
578166 ;7;6
578166 ;8;6
578166 ;9;6
578166 ;10;6
578175 ;5;M
578175 ;6;M
578175 ;9;M
578175 ;11;M
578175 ;12;M
578175 ;15;M
578207 ;11;M
578207 ;12;M
578208 ;11;M
578208 ;12;M
578208 ;13;M
578236 ;8;M
578236 ;23;N
578236 ;24;N
578346 ;2;M
578346 ;12;M
578346 ;16;M
578378 ;9;M
578378 ;10;M
578378 ;11;M
578380 ;11;M
578442 ;9;M
578450 ;3;M
578507 ;2;N
578519 ;3;A
578519 ;4;6
578568 ;3;N
578583 ;7;6
578605 ;8;M
578605 ;16;M
578647 ;4;M
578647 ;5;M
578647 ;7;M
578647 ;8;A
578647 ;9;A
578647 ;11;M
578656 ;2;M
578825 ;3;M
578855 ;1;M
578855 ;3;M
578855 ;4;M
578855 ;5;M
578952 ;5;M
578952 ;8;M
578952 ;9;M
578952 ;17;M
578952 ;21;M
578985 ;10;M
578985 ;12;M
578985 ;20;A
579017 ;6;6
579017 ;13;M
579017 ;14;M
579020 ;12;M
579020 ;17;M
579035 ;3;M
579035 ;6;M
579035 ;18;M
579085 ;1;M
579124 ;12;M
579124 ;16;M
579127 ;10;M
579127 ;11;M
579130 ;23;M
579130 ;25;M
579134 ;1;N
579134 ;8;M
579253 ;3;M
579253 ;10;M
579253 ;11;M
579253 ;13;M
579300 ;6;M
579300 ;11;M
579300 ;12;M
579317 ;2;6
579317 ;3;6
579322 ;2;A
579322 ;4;A
579322 ;10;A
579322 ;11;A
579322 ;12;A
579386 ;6;M
579407 ;2;M
579407 ;7;M
579407 ;10;M
579407 ;11;M
579407 ;19;M
579489 ;8;6
579489 ;9;6
579536 ;23;M
579580 ;5;A
579599 ;14;M
579599 ;23;M
579601 ;1;M
579601 ;3;M
579601 ;7;M
579601 ;20;M
579601 ;22;M
579658 ;1;M
579701 ;6;M
579701 ;10;M
579701 ;23;M
579752 ;2;M
579752 ;3;A
579752 ;4;M
579752 ;7;A
579752 ;19;M
579752 ;22;M
579773 ;2;6
579786 ;1;6
579786 ;2;6
579786 ;9;6
579805 ;4;6
579820 ;1;M
579820 ;9;M
579820 ;12;M
579820 ;15;M
579892 ;14;M
579932 ;12;M
579949 ;11;M
579956 ;11;A
579956 ;12;A
579956 ;13;A
579956 ;16;A
579970 ;11;M
580016 ;6;M
580016 ;11;M
580107 ;18;M
580109 ;9;M
580133 ;13;M
580152 ;11;M
580152 ;12;M
580198 ;1;M
580198 ;2;M
580198 ;3;M
580198 ;4;M
580198 ;6;M
580198 ;7;M
580198 ;9;M
580198 ;10;M
580198 ;11;M
580198 ;12;M
580198 ;13;M
580198 ;17;A
580198 ;18;M
580231 ;1;M
580240 ;2;M
580240 ;9;M
580240 ;17;M
580240 ;20;M
580240 ;23;M
580240 ;24;M
580240 ;25;M
580240 ;26;M
580240 ;28;M
580257 ;2;M
580257 ;9;M
580270 ;1;M
580309 ;5;M
580309 ;7;M
580309 ;17;M
580309 ;20;M
580414 ;14;M
580477 ;1;N
580551 ;6;M
580606 ;17;M
580757 ;6;6
580769 ;20;6
580769 ;23;6
580799 ;5;M
580799 ;6;M
580799 ;10;M
580799 ;11;M
580799 ;17;M
580799 ;18;M
580864 ;1;M
580864 ;4;M
580869 ;1;M
